# Dit is de ParameterMappingTable. Kopieer deze tekst in een leeg txt bestand om een bestand te maken wat in Revit ingelezen kan worden		
# Deze tabel mapt de NLRS parameters (of Revit Built-In parameters) aan de Common Property Sets in IFC. Indien geen mapping beschikbaar is, is de regel leeg gelaten		
# Parameters die u niet wilt mappen kunt u uitschakelen door aan het begin van de regel een # te plaatsen		
# PSet <tab> IFC Property <tab> Revit parameter		
# IFC 4		
# NLRS 3.1.1		
# -----------------------------------------------------		
#PropertySet	IFC Property	Revit Parameter
Pset_CoveringCeiling	TileWidth	NLRS_C_breedte_01
Pset_CoveringCommon	FireRating	Fire Rating
Pset_CoveringCommon	Reference	Description
Pset_CoveringCommon	Reference	NLRS_C_description
Pset_CoveringCommon	AcousticRating	NLRS_C_geluidwerendheid_Rw
Pset_CoveringCommon	Combustible	NLRS_C_brandbaar
Pset_CoveringCommon	Finish	NLRS_C_materiaal_afwerking
Pset_CoveringCommon	FireRating	NLRS_C_brandwerendheid
Pset_CoveringCommon	FlammabilityRating	
Pset_CoveringCommon	FragilityRating	
Pset_CoveringCommon	IsExternal	NLRS_C_buiten
Pset_CoveringCommon	Status	NLRS_C_status
Pset_CoveringCommon	SurfaceSpreadOfFlame	NLRS_C_brandklasse_code
Pset_CoveringCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_CoveringFlooring	HasAntiStaticSurface	
Pset_CoveringFlooring	HasNonSkidSurface	NLRS_C_antislip
Pset_CurtainWallCommon	FireRating	Fire Rating
Pset_CurtainWallCommon	Reference	Description
Pset_CurtainWallCommon	Reference	NLRS_C_description
Pset_CurtainWallCommon	AcousticRating	NLRS_C_geluidwerendheid_Rw
Pset_CurtainWallCommon	Combustible	NLRS_C_brandbaar
Pset_CurtainWallCommon	FireRating	NLRS_C_brandwerendheid
Pset_CurtainWallCommon	IsExternal	NLRS_C_buiten
Pset_CurtainWallCommon	Status	NLRS_C_status
Pset_CurtainWallCommon	SurfaceSpreadOfFlame	NLRS_C_brandklasse_code
Pset_CurtainWallCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_DamperOccurrence	SizingMethod	
Pset_DamperTypeCommon	Reference	Description
Pset_DamperTypeCommon	Reference	NLRS_C_description
Pset_DamperTypeCommon	BladeAction	
Pset_DamperTypeCommon	BladeEdge	
Pset_DamperTypeCommon	BladeShape	NLRS_C_vorm
